S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Directional Deformation (m)
0.	0.398	0.2	10.	1.6742e-020
0.20833	0.398	0.2	9.7917	-2.8328e-005
0.41667	0.398	0.2	9.5833	-1.2165e-004
0.625	0.398	0.2	9.375	-2.7306e-004
0.83333	0.398	0.2	9.1667	-4.7696e-004
1.0417	0.398	0.2	8.9583	-7.2809e-004
1.25	0.398	0.2	8.75	-1.0213e-003
1.4583	0.398	0.2	8.5417	-1.3513e-003
1.6667	0.398	0.2	8.3333	-1.713e-003
1.875	0.398	0.2	8.125	-2.1012e-003
2.0833	0.398	0.2	7.9167	-2.5108e-003
2.2917	0.398	0.2	7.7083	-2.9365e-003
2.5	0.398	0.2	7.5	-3.3731e-003
2.7083	0.398	0.2	7.2917	-3.8156e-003
2.9167	0.398	0.2	7.0833	-4.2586e-003
3.125	0.398	0.2	6.875	-4.6971e-003
3.3333	0.398	0.2	6.6667	-5.1258e-003
3.5417	0.398	0.2	6.4583	-5.5396e-003
3.75	0.398	0.2	6.25	-5.9333e-003
3.9583	0.398	0.2	6.0417	-6.3017e-003
4.1667	0.398	0.2	5.8333	-6.6396e-003
4.375	0.398	0.2	5.625	-6.9418e-003
4.5833	0.398	0.2	5.4167	-7.2033e-003
4.7917	0.398	0.2	5.2083	-7.4187e-003
5.	0.398	0.2	5.	-7.5836e-003
5.2083	0.398	0.2	4.7917	-7.6902e-003
5.4167	0.398	0.2	4.5833	-7.7434e-003
5.625	0.398	0.2	4.375	-7.7449e-003
5.8333	0.398	0.2	4.1667	-7.6971e-003
6.0417	0.398	0.2	3.9583	-7.6023e-003
6.25	0.398	0.2	3.75	-7.4629e-003
6.4583	0.398	0.2	3.5417	-7.2812e-003
6.6667	0.398	0.2	3.3333	-7.0596e-003
6.875	0.398	0.2	3.125	-6.8005e-003
7.0833	0.398	0.2	2.9167	-6.5061e-003
7.2917	0.398	0.2	2.7083	-6.1788e-003
7.5	0.398	0.2	2.5	-5.821e-003
7.7083	0.398	0.2	2.2917	-5.435e-003
7.9167	0.398	0.2	2.0833	-5.0231e-003
8.125	0.398	0.2	1.875	-4.5878e-003
8.3333	0.398	0.2	1.6667	-4.1314e-003
8.5417	0.398	0.2	1.4583	-3.6562e-003
8.75	0.398	0.2	1.25	-3.1645e-003
8.9583	0.398	0.2	1.0417	-2.6587e-003
9.1667	0.398	0.2	0.83333	-2.1412e-003
9.375	0.398	0.2	0.625	-1.6143e-003
9.5833	0.398	0.2	0.41667	-1.0804e-003
9.7917	0.398	0.2	0.20833	-5.4171e-004
10.	0.398	0.2	0.	-8.7974e-007
